,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
95,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,27-231,1994,19.8,41.3,50.2,82.4,735.4,207.3,18.8,20.9,89.9,16.7,19.7,84.9,4.70,7.53,62.4,0.10,0.05,0.06,0.51,4.34,0.45,0.00,4.39,Matches
96,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,32-248,1989,11.2,48.3,64.0,75.5,1081.2,505.9,17.1,20.4,84.2,20.6,25.1,82.2,10.2,17.3,58.8,0.09,0.10,-0.01,0.63,5.27,1.88,0.89,5.89,Matches
97,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,25-127,1997,24.6,43.0,59.4,72.5,784.8,304.4,20.7,23.0,89.9,15.2,20.0,76.2,5.93,14.0,42.3,0.20,0.23,-0.02,1.91,2.97,2.24,1.22,4.31,Matches
98,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,it Serie A,19-263,2002,0.3,13.3,36.7,36.4,220.0,90.0,6.67,6.67,100.0,6.67,13.3,50.0,0.00,13.3,0.0,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,Matches
99,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,35-233,1986,6.8,38.1,54.1,70.4,785.9,382.6,15.7,17.5,89.9,14.3,19.6,72.9,7.35,14.6,50.5,0.44,0.21,0.24,2.21,5.59,1.76,1.18,6.18,Matches
100,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,it Serie A,19-266,2002,7.9,15.7,23.8,66.0,219.0,43.8,9.11,12.7,72.0,5.32,7.34,72.4,0.51,1.39,36.4,0.00,0.04,-0.04,0.51,0.51,0.89,0.38,0.89,Matches
101,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25-295,1996,27.8,54.8,63.8,86.0,1203.9,399.5,15.6,16.9,92.6,29.1,31.7,92.0,9.46,14.1,67.3,0.04,0.05,-0.01,0.32,3.31,0.40,0.07,3.06,Matches
102,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21-308,2000,0.6,33.3,41.7,80.0,528.3,116.7,18.3,18.3,100.0,6.67,11.7,57.1,5.00,8.33,60.0,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,Matches
103,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,32-044,1990,31.0,14.3,21.9,65.5,230.8,43.6,8.06,10.5,76.7,4.23,6.32,66.8,1.42,2.68,53.0,0.23,0.21,0.02,1.45,0.74,0.90,0.35,1.19,Matches
104,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,28-093,1994,12.6,13.0,20.8,62.6,207.6,64.8,7.14,9.60,74.4,4.76,7.14,66.7,0.87,2.38,36.7,0.08,0.07,0.01,0.63,0.79,0.87,0.32,1.35,Matches
105,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23-315,1998,26.6,45.6,52.3,87.2,727.9,176.8,25.2,27.4,91.9,15.5,17.4,88.8,3.76,5.11,73.5,0.11,0.19,-0.08,1.24,4.47,1.13,0.08,4.44,Matches
106,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-300,2002,10.9,39.7,52.5,75.7,749.7,189.4,19.1,22.6,84.6,11.5,14.2,80.6,6.88,11.4,60.5,0.37,0.13,0.24,1.47,3.58,0.83,0.37,3.30,Matches
107,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29-336,1992,22.0,33.5,43.3,77.3,630.1,282.8,14.0,15.9,88.5,14.5,17.9,80.7,4.68,8.05,58.2,0.00,0.01,-0.01,0.18,2.05,0.68,0.36,3.32,Matches
108,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,26-223,1995,26.6,32.2,43.3,74.3,720.3,178.0,12.0,14.2,84.2,11.5,14.1,82.1,8.01,13.1,61.0,0.19,0.06,0.13,1.28,3.12,0.49,0.19,2.26,Matches
109,Mattia Aramu\0847b5a5,it ITA,MFFW,Venezia,it Serie A,26-362,1995,22.6,22.9,34.6,66.2,412.7,146.7,10.6,12.9,82.2,8.50,11.4,74.7,3.23,8.23,39.2,0.18,0.19,-0.01,1.59,1.59,1.42,0.62,2.79,Matches
110,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,33-024,1989,17.2,52.0,62.0,83.9,995.8,288.9,19.8,22.4,88.1,23.5,26.3,89.4,7.21,10.5,68.9,0.23,0.10,0.13,0.93,4.94,0.64,0.12,5.00,Matches
111,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,30-255,1991,27.1,46.1,52.7,87.5,1028.9,231.7,11.6,12.8,90.8,24.5,26.3,93.0,9.74,12.8,76.1,0.00,0.01,-0.01,0.04,2.14,0.11,0.04,1.99,Matches
112,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,23-065,1999,24.2,58.4,64.8,90.2,1244.8,341.0,16.0,16.8,95.3,32.8,34.7,94.5,9.17,12.6,72.8,0.00,0.02,-0.02,0.25,3.39,0.21,0.08,3.10,Matches
113,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,20-294,2001,0.3,16.7,16.7,100.0,303.3,93.3,3.33,3.33,100.0,13.3,13.3,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,3.33,0.00,10.0,Matches
114,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,eng Premier League,29-073,1993,1.0,20.0,41.0,48.8,768.0,546.0,0.00,0.00,,9.00,9.00,100.0,11.0,32.0,34.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
115,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22-313,1999,1.9,23.7,34.7,68.2,490.5,255.3,7.89,8.42,93.8,11.6,17.4,66.7,4.21,8.95,47.1,0.00,0.00,0.00,0.53,1.58,0.00,0.00,1.58,Matches
116,Matias Arezo\484ebdb0,uy URU,FW,Granada,es La Liga,19-171,2002,1.7,10.6,20.0,52.9,139.4,48.2,7.65,12.4,61.9,2.94,5.29,55.6,0.00,0.59,0.0,0.00,0.06,-0.06,1.76,2.35,0.59,0.00,1.18,Matches
117,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,30-118,1992,3.9,35.4,47.2,75.0,635.6,274.1,13.1,16.2,81.0,18.2,23.3,78.0,3.59,6.15,58.3,0.00,0.05,-0.05,0.77,1.79,0.51,0.26,3.08,Matches
118,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,eng Premier League,25-090,1997,15.0,14.1,20.1,70.2,237.9,38.0,6.67,8.60,77.5,6.13,8.20,74.8,1.00,2.00,50.0,0.13,0.11,0.02,0.80,0.87,0.87,0.00,1.60,Matches
119,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,30-042,1992,15.1,35.6,44.8,79.4,567.0,140.8,18.7,22.5,82.9,13.2,15.4,85.4,2.58,4.17,61.9,0.00,0.09,-0.09,1.59,2.32,1.39,0.26,4.17,Matches
120,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,33-022,1989,28.9,22.8,31.1,73.3,329.3,54.7,13.1,17.1,76.7,7.54,9.76,77.3,1.11,1.76,62.7,0.03,0.15,-0.11,1.45,0.93,0.73,0.07,1.73,Matches
121,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27-349,1994,32.3,44.1,56.4,78.2,1013.6,322.5,12.8,14.7,87.2,19.5,21.5,90.4,11.0,18.5,59.4,0.06,0.14,-0.07,1.76,4.55,1.02,0.15,4.74,Matches
122,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,27-220,1994,4.0,28.8,34.8,82.7,690.8,323.5,7.00,7.00,100.0,14.8,14.8,100.0,6.75,12.8,52.9,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,Matches
123,Tolgay Arslan\963a328b,de GER,MF,Udinese,it Serie A,31-268,1990,18.3,29.3,36.5,80.4,533.3,133.7,12.6,14.6,86.5,12.3,14.2,86.9,3.61,5.74,62.9,0.00,0.09,-0.09,0.93,3.39,0.33,0.05,2.95,Matches
124,Arthur\a820e429,br BRA,FW,Fiorentina,it Serie A,24-016,1998,7.5,13.9,17.6,78.8,249.5,31.3,6.93,8.27,83.9,5.33,6.53,81.6,1.33,1.87,71.4,0.27,0.03,0.24,0.67,1.07,0.13,0.00,0.80,Matches
125,Santiago Arzamendia\759d8dd7,py PAR,MFDF,Cádiz,es La Liga,24-006,1998,5.2,21.0,32.7,64.1,346.3,99.2,9.81,12.1,81.0,8.27,11.2,74.1,1.73,7.12,24.3,0.00,0.00,0.00,0.19,0.77,0.77,0.58,0.96,Matches
126,Takuma Asano\13ddc856,jp JPN,FWMF,Bochum,de Bundesliga,27-182,1994,17.0,14.6,21.0,69.5,219.8,71.8,7.12,9.29,76.6,5.76,7.71,74.8,0.82,1.65,50.0,0.18,0.14,0.04,1.00,1.18,0.76,0.35,2.00,Matches
127,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,25-075,1997,25.4,37.9,45.6,83.0,649.9,178.3,18.3,21.5,85.0,15.0,17.0,88.0,3.70,5.00,74.0,0.04,0.01,0.03,0.39,2.64,0.20,0.00,2.91,Matches
128,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32-317,1989,6.0,30.5,37.0,82.4,819.8,450.0,5.67,5.67,100.0,14.8,15.0,98.9,10.0,16.2,61.9,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,Matches
129,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,26-110,1996,18.2,38.5,47.1,81.6,663.6,128.2,20.2,22.7,89.1,12.7,14.5,87.9,4.56,7.80,58.5,0.00,0.12,-0.12,1.48,2.64,1.10,0.16,2.86,Matches
130,Harrison Ashby\b391383a,sct SCO,DF,West Ham,eng Premier League,20-178,2001,0.1,70.0,80.0,87.5,1420.0,180.0,20.0,20.0,100.0,40.0,50.0,80.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
131,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,21-122,2001,8.2,18.5,27.1,68.5,294.1,106.5,9.88,12.2,81.0,6.71,9.15,73.3,1.46,3.78,38.7,0.00,0.02,-0.02,0.24,1.59,0.24,0.00,2.68,Matches
132,Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,de Bundesliga,19-276,2002,0.1,60.0,80.0,75.0,890.0,130.0,40.0,40.0,100.0,10.0,10.0,100.0,10.0,20.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
133,Kristjan Asllani\0fdcef0e,al ALB,MF,Empoli,it Serie A,20-063,2002,13.0,41.8,50.8,82.4,904.9,226.9,14.2,15.9,88.9,19.2,21.2,90.9,8.08,12.7,63.6,0.00,0.07,-0.07,0.54,4.38,0.23,0.08,3.46,Matches
134,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,34-283,1987,32.3,28.5,39.6,71.9,455.6,85.0,16.0,19.5,82.2,8.11,11.2,72.4,2.88,5.51,52.2,0.12,0.19,-0.06,1.80,1.24,1.15,0.25,2.23,Matches
135,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,fr Ligue 1,21-323,2000,6.5,46.2,57.7,80.0,828.3,206.0,20.3,23.7,85.7,19.8,22.8,87.2,4.62,8.00,57.7,0.31,0.14,0.17,0.92,2.15,0.77,0.31,3.08,Matches
136,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,de Bundesliga,21-106,2001,7.7,33.5,47.4,70.7,635.1,283.9,14.0,16.6,84.4,13.8,18.8,73.1,5.19,9.35,55.6,0.00,0.01,-0.01,0.26,1.69,0.52,0.26,2.60,Matches
137,Youcef Atal\6a827d8e,dz ALG,DF,Nice,fr Ligue 1,25-359,1996,12.7,44.0,57.4,76.7,733.4,263.6,23.0,25.1,91.5,16.2,20.2,80.2,4.33,9.29,46.6,0.08,0.12,-0.04,0.94,2.44,1.42,0.55,3.78,Matches
138,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,es La Liga,32-327,1989,10.7,15.4,20.8,74.0,224.8,24.1,8.69,11.7,74.4,5.33,6.73,79.2,0.56,0.84,66.7,0.09,0.09,0.00,0.56,0.56,0.65,0.00,1.03,Matches
139,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,32-327,1989,11.5,12.6,17.8,70.7,175.3,33.3,8.17,10.2,80.3,3.48,5.39,64.5,0.70,1.22,57.1,0.09,0.07,0.02,0.78,0.35,0.87,0.09,1.13,Matches
140,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,25-113,1997,26.5,23.7,34.5,68.8,807.5,530.4,3.62,3.62,100.0,8.79,9.02,97.5,11.3,21.8,51.8,0.00,0.02,-0.02,0.08,0.68,0.00,0.00,0.00,Matches
141,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,27-254,1994,24.6,40.1,52.8,76.0,747.3,323.2,15.9,18.6,85.8,19.4,23.6,82.3,4.19,7.97,52.6,0.04,0.07,-0.02,0.65,2.28,1.26,0.53,4.55,Matches
142,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,fr Ligue 1,24-329,1997,0.7,17.1,21.4,80.0,220.0,31.4,11.4,12.9,88.9,2.86,5.71,50.0,1.43,1.43,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
143,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,28-020,1994,8.8,51.4,63.6,80.7,906.1,297.6,24.3,26.1,93.0,20.7,23.3,88.8,5.68,12.2,46.7,0.11,0.07,0.05,1.14,2.39,0.91,0.45,1.82,Matches
144,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,29-138,1992,11.0,56.5,66.2,85.4,1035.7,355.5,22.5,25.4,88.5,27.4,31.1,88.0,5.73,7.64,75.0,0.09,0.11,-0.02,0.64,3.27,1.36,0.64,4.55,Matches
145,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,es La Liga,28-094,1994,18.6,14.4,25.5,56.4,289.9,86.0,5.97,9.03,66.1,5.65,8.98,62.9,2.53,5.70,44.3,0.05,0.07,-0.02,0.81,1.40,1.02,0.65,2.10,Matches
146,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,24-272,1997,23.2,13.4,19.6,68.4,209.2,52.7,7.07,9.22,76.6,4.78,6.85,69.8,0.91,1.64,55.3,0.04,0.08,-0.03,0.95,1.12,0.78,0.09,1.81,Matches
147,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,31-282,1990,1.5,12.0,18.7,64.3,257.3,102.0,3.33,4.00,83.3,6.00,9.33,64.3,2.67,5.33,50.0,0.00,0.00,0.00,0.00,1.33,0.00,0.00,2.00,Matches
148,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,eng Premier League,30-242,1991,21.4,25.4,33.3,76.4,386.2,77.9,14.6,16.5,88.4,8.64,10.7,80.4,1.50,3.50,42.7,0.14,0.11,0.03,0.98,1.31,0.70,0.23,2.10,Matches
149,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,27-182,1994,14.0,53.6,59.2,90.5,1164.6,415.2,17.9,18.8,95.4,24.6,26.3,93.5,10.5,13.3,79.0,0.00,0.00,0.00,0.07,4.36,0.14,0.00,5.00,Matches
150,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,30-259,1991,25.2,48.3,61.8,78.2,1019.3,435.9,17.5,19.8,88.0,22.0,25.7,85.5,8.49,14.5,58.5,0.08,0.03,0.05,0.32,3.93,0.44,0.16,4.96,Matches
151,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,fr Ligue 1,32-114,1990,4.3,25.1,33.7,74.5,501.2,196.0,8.84,10.0,88.4,12.3,15.1,81.5,3.72,7.91,47.1,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.70,Matches
152,Sardar Azmoun\10549b49,ir IRN,FWMF,Leverkusen,de Bundesliga,27-130,1995,3.9,19.2,26.2,73.5,300.3,77.9,10.5,12.1,87.2,6.92,10.3,67.5,1.54,1.79,85.7,0.26,0.15,0.10,1.54,2.31,0.77,0.00,3.33,Matches
153,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,32-256,1989,21.6,61.3,73.4,83.6,1040.7,402.5,29.4,32.6,90.3,27.4,31.1,88.2,3.94,7.50,52.5,0.09,0.10,-0.00,0.83,4.58,0.93,0.14,5.42,Matches
154,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,26-109,1996,21.5,29.0,36.0,80.4,595.5,176.8,9.91,11.8,83.9,13.0,15.1,86.4,5.44,7.53,72.2,0.00,0.01,-0.01,0.37,2.74,0.42,0.05,3.12,Matches
155,Carlos Bacca\09a9e921,co COL,FW,Granada,es La Liga,35-245,1986,5.6,12.3,18.9,65.1,196.6,45.4,5.89,7.68,76.7,4.29,7.14,60.0,1.25,2.14,58.3,0.18,0.09,0.09,0.71,1.25,0.54,0.00,1.43,Matches
156,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27-306,1994,11.0,17.6,29.8,59.1,671.5,458.6,1.82,1.82,100.0,6.91,7.18,96.2,8.91,20.8,42.8,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,Matches
157,Loïc Bade\114bbdee,fr FRA,DF,Rennes,fr Ligue 1,22-030,2000,10.9,59.8,65.0,92.1,1410.2,376.9,13.7,14.5,94.3,31.3,33.4,93.7,14.7,16.9,87.0,0.09,0.01,0.08,0.09,3.67,0.18,0.09,2.94,Matches
158,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,it Serie A,33-075,1989,31.3,40.0,50.7,78.9,780.2,246.2,15.2,17.9,85.2,18.7,22.1,84.5,5.37,8.85,60.6,0.00,0.07,-0.07,0.83,4.35,0.61,0.06,5.11,Matches
159,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,30-088,1992,23.0,23.3,34.8,67.0,826.4,558.5,3.57,3.65,97.6,8.09,8.17,98.9,11.7,22.9,50.9,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,Matches
160,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,fr Ligue 1,21-046,2001,18.4,60.5,67.7,89.4,1296.1,398.7,16.7,17.8,94.2,33.0,35.3,93.7,10.4,13.9,74.9,0.00,0.02,-0.02,0.05,3.86,0.11,0.00,4.73,Matches
161,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,fr Ligue 1,20-142,2001,1.5,17.3,25.3,68.4,182.0,34.7,12.7,16.0,79.2,2.67,6.00,44.4,0.00,0.00,,0.00,0.13,-0.13,1.33,2.00,0.00,0.00,0.00,Matches
162,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,es La Liga,22-045,2000,0.0,4,5,80.0,68,10,2,2,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
163,Issa Bah\956a78ea,lu LUX,FW,Venezia,it Serie A,19-310,2002,0.1,50.0,60.0,83.3,810.0,150.0,20.0,20.0,100.0,30.0,40.0,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
164,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,fr Ligue 1,29-348,1992,10.6,13.1,17.2,76.4,182.4,25.4,7.83,9.81,79.8,3.21,3.77,85.0,1.04,1.51,68.8,0.09,0.07,0.03,0.47,0.47,0.28,0.28,0.19,Matches
165,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,eng Premier League,24-275,1997,8.5,17.5,26.4,66.5,308.4,68.2,8.35,9.76,85.5,6.12,8.71,70.3,2.35,5.29,44.4,0.24,0.07,0.16,0.94,0.47,1.29,0.35,2.35,Matches
166,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,eng Premier League,28-029,1994,2.4,26.7,33.3,80.0,568.8,191.3,10.0,10.8,92.3,10.8,12.5,86.7,5.83,9.17,63.6,0.00,0.00,0.00,0.00,0.83,0.00,0.00,1.25,Matches
167,Dénys Bain\5065d67d,fr FRA,DF,Brest,fr Ligue 1,28-313,1993,2.0,39.5,41.0,96.3,870.5,278.5,10.0,10.5,95.2,21.0,21.5,97.7,8.00,8.50,94.1,0.00,0.00,0.00,0.00,1.50,0.00,0.00,2.50,Matches
168,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,20-139,2001,5.7,22.8,32.5,70.3,662.6,455.1,6.14,6.32,97.2,8.25,8.25,100.0,8.25,17.7,46.5,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,Matches
169,Nedim Bajrami\f42d6c13,al ALB,MFFW,Empoli,it Serie A,23-072,1999,22.0,27.4,38.8,70.6,474.3,152.8,14.3,16.5,87.0,9.23,12.1,76.0,3.27,7.82,41.9,0.18,0.23,-0.05,2.45,1.82,2.00,0.45,3.95,Matches
170,Cédric Bakambu\0af4dcf0,cd COD,FW,Marseille,fr Ligue 1,31-030,1991,3.9,13.1,17.4,75.0,215.4,42.3,8.21,10.5,78.0,2.82,4.62,61.1,1.79,1.79,100.0,0.00,0.15,-0.15,1.54,0.26,0.51,0.00,1.03,Matches
171,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-147,2002,3.4,27.4,38.5,71.0,499.7,205.0,10.6,13.2,80.0,12.4,13.5,91.3,3.53,10.0,35.3,0.00,0.00,0.00,0.00,1.18,0.00,0.00,1.47,Matches
172,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Milan,it Serie A,27-267,1994,5.4,50.9,57.6,88.4,910.2,172.6,23.9,27.4,87.2,19.3,20.9,92.0,6.48,7.41,87.5,0.00,0.09,-0.09,0.56,4.07,0.56,0.00,3.33,Matches
173,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,de Bundesliga,21-325,2000,20.0,50.1,60.5,83.0,827.1,311.1,25.2,27.8,90.8,19.9,23.0,86.3,4.00,7.20,55.6,0.15,0.05,0.10,0.50,3.20,1.05,0.55,3.75,Matches
174,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,de Bundesliga,24-033,1998,26.2,37.4,48.8,76.6,707.3,243.3,15.6,18.5,84.2,16.5,20.6,80.0,4.89,8.09,60.4,0.19,0.18,0.01,1.45,2.48,1.26,0.46,4.35,Matches
175,Dilane Bakwa\2b5a35e5,fr FRA,FWDF,Bordeaux,fr Ligue 1,19-258,2002,0.3,26.7,33.3,80.0,470.0,200.0,10.0,10.0,100.0,13.3,16.7,80.0,3.33,3.33,100.0,0.00,0.00,0.00,0.00,3.33,3.33,0.00,6.67,Matches
176,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,es La Liga,18-205,2003,1.1,55.5,59.1,93.8,885.5,213.6,28.2,28.2,100.0,22.7,24.5,92.6,2.73,3.64,75.0,0.00,0.09,-0.09,0.91,1.82,1.82,0.00,4.55,Matches
177,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,fr Ligue 1,19-114,2003,0.6,13.3,18.3,72.7,180.0,33.3,6.67,8.33,80.0,5.00,6.67,75.0,0.00,0.00,,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,Matches
178,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,it Serie A,27-064,1995,13.1,14.2,19.5,72.9,200.2,32.2,7.94,10.2,78.2,4.35,5.73,76.0,0.84,1.30,64.7,0.08,0.07,0.01,0.61,1.15,0.31,0.00,0.84,Matches
179,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,es La Liga,32-299,1989,3.1,15.2,20.6,73.4,251.6,65.5,7.74,9.68,80.0,6.45,7.74,83.3,0.97,2.26,42.9,0.00,0.00,0.00,0.32,1.29,0.97,0.00,2.90,Matches
180,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,es La Liga,34-071,1988,22.5,34.0,44.6,76.3,577.4,229.6,16.5,18.5,89.4,14.1,18.2,77.5,2.62,6.04,43.4,0.00,0.02,-0.02,0.36,1.82,0.53,0.18,3.20,Matches
181,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,fr Ligue 1,23-105,1999,10.6,70.5,76.3,92.3,1455.3,374.8,22.9,24.0,95.7,36.0,37.5,96.0,11.0,13.9,79.6,0.00,0.00,0.00,0.09,3.30,0.00,0.00,2.74,Matches
182,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,es La Liga,30-130,1992,32.0,38.3,50.4,75.9,732.0,339.1,15.8,17.9,88.6,16.5,20.7,79.9,5.22,9.63,54.2,0.06,0.10,-0.04,1.09,2.56,1.09,0.78,3.94,Matches
183,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,it Serie A,25-128,1997,5.0,46.2,54.6,84.6,781.8,217.4,21.0,22.6,92.9,20.2,23.8,84.9,4.00,5.40,74.1,0.00,0.04,-0.04,0.80,2.60,1.60,0.80,3.60,Matches
184,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,eng Premier League,20-312,2001,0.8,5.00,10.0,50.0,75.0,7.50,2.50,5.00,50.0,2.50,3.75,66.7,0.00,1.25,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
185,Abdoulaye Bamba\7fecbcdb,ci CIV,DF,Angers,fr Ligue 1,32-016,1990,4.7,27.0,35.1,77.0,435.3,193.4,14.5,15.3,94.4,10.9,14.0,77.3,1.49,3.83,38.9,0.00,0.02,-0.02,0.43,1.06,0.64,0.43,2.34,Matches
186,Jonathan Bamba\b2bd0f6c,fr FRA,MFFW,Lille,fr Ligue 1,26-046,1996,25.5,32.2,42.6,75.5,526.6,178.7,18.3,21.6,84.9,9.33,11.2,83.5,3.37,6.86,49.1,0.08,0.13,-0.05,1.73,2.51,1.49,0.43,4.04,Matches
187,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,eng Premier League,28-248,1993,6.2,13.7,16.6,82.5,217.6,34.0,7.74,8.55,90.6,4.19,5.00,83.9,1.45,2.10,69.2,0.32,0.16,0.16,0.97,0.97,0.81,0.32,1.13,Matches
188,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,it Serie A,27-043,1995,20.2,25.8,34.3,75.4,460.4,158.5,12.5,14.0,89.4,10.1,12.9,78.5,2.72,5.54,49.1,0.05,0.12,-0.07,1.44,2.13,1.93,0.74,4.26,Matches
189,Mattia Bani\0821331c,it ITA,DF,Genoa,it Serie A,28-152,1993,12.5,25.4,34.6,73.2,542.5,200.8,7.12,8.16,87.3,13.4,16.5,81.6,4.40,9.12,48.2,0.00,0.00,0.00,0.08,1.28,0.00,0.00,2.24,Matches
190,Simon Banza\be47b750,fr FRA,FW,Lens,fr Ligue 1,25-271,1996,1.4,14.3,20.7,69.0,263.6,55.0,7.86,11.4,68.8,4.29,5.00,85.7,1.43,2.86,50.0,0.71,0.43,0.29,1.43,1.43,0.00,0.00,0.71,Matches
